.15,9.54
0.04,-0.11,9.50
0.04,-0.15,9.50
-0.04,-0.08,9.50
-0.04,-0.15,9.42
0.11,-0.08,9.46
0.04,-0.11,9.54
0.11,-0.11,9.54
0.04,-0.04,9.35
0.08,-0.04,9.62
0.08,-0.11,9.50
0.19,-0.11,9.39
0.04,-0.23,9.42
0.00,-0.08,9.54
0.04,-0.11,9.54
0.08,0.00,9.42
0.08,-0.04,9.54
0.11,-0.04,9.42
0.15,-0.04,9.46
0.04,-0.11,9.50
0.11,-0.08,9.50
0.08,-0.15,9.50
0.15,-0.19,9.58
0.00,-0.11,9.50
-0.08,-0.23,9.50
0.04,-0.08,9.46
0.00,-0.15,9.42
-0.15,-0.15,9.58
0.15,-0.11,9.50
0.04,-0.15,9.54
0.08,-0.08,9.50
0.00,0.04,9.62
0.15,-0.04,9.50
0.11,-0.11,9.58
0.04,-0.15,9.54
0.04,-0.15,9.54
0.08,-0.08,9.50
-0.04,-0.08,9.54
0.08,-0.27,9.39
0.08,-0.19,9.46
0.00,-0.23,9.42
0.11,-0.15,9.73
-0.04,-0.11,9.42
0.08,-0.27,9.42
0.11,-0.11,9.46
0.15,-0.15,9.42
0.04,-0.19,9.42
0.11,-0.15,9.42
0.04,-0.15,9.50
-0.08,-0.08,9.46
0.11,-0.11,9.54
0.11,-0.19,9.54
-0.04,-0.11,9.50
-0.04,-0.23,9.58
0.11,-0.11,9.58
0.08,-0.11,9.50
-0.04,-0.15,9.42
0.04,-0.11,9.42
-0.04,-0.15,9.50
0.00,-0.04,9.54
0.04,-0.08,9.58
0.04,-0.04,9.39
0.04,-0.19,9.46
-0.04,-0.04,9.42
0.15,-0.11,9.50
0.15,-0.23,9.42
0.11,-0.08,9.42
0.00,-0.11,9.50
0.04,-0.15,9.62
0.15,-0.04,9.50
-0.04,-0.04,9.46
0.00,-0.15,9.50
0.15,-0.15,9.58
0.08,-0.11,9.46
0.04,-0.11,9.50
-0.04,-0.11,9.54
0.04,-0.08,9.58
0.04,-0.15,9.46
0.08,-0.08,9.46
0.08,-0.15,9.46
0.04,-0.08,9.54
0.08,-0.19,9.46
0.00,-0.15,9.35
0.04,-0.15,9.50
0.00,-0.11,9.42
-0.04,-0.11,9.50
0.19,-0.19,9.39
0.04,-0.19,9.46
0.11,-0.15,9.50
0.00,0.00,9.46
0.08,-0.11,9.50
0.04,-0.08,9.54
0.08,-0.08,9.54
0.08,-0.15,9.58
0.08,-0.11,9.54
0.15,-0.11,9.58
-0.04,-0.31,9.27
0.08,-0.08,9.46
0.00,-0.08,9.39
0.00,-0.08,9.35
0.15,-0.08,9.50
0.00,-0.04,9.27
0.00,-0.11,9.54
0.11,-0.04,9.54
0.00,-0.04,9.50
0.15,-0.15,9.54
-0.04,-0.11,9.58
0.11,-0.11,9.46
0.04,-0.11,9.54
0.00,-0.19,9.50
0.11,-0.15,9.54
-0.04,-0.11,9.50
0.04,-0.08,9.46
0.04,-0.19,9.50
0.04,-0.08,9.54
0.00,-0.11,9.54
0.08,-0.15,9.58
-0.04,-0.08,9.50
0.11,-0.04,9.54
0.11,-0.11,9.42
0.08,-0.11,9.50
0.00,-0.15,9.42
0.04,-0.04,9.54
0.00,0.00,9.46
0.04,-0.15,9.39
0.08,0.04,9.35
0.11,-0.15,9.54
0.11,-0.11,9.46
-0.04,-0.15,9.42
0.11,-0.15,9.62
0.00,-0.04,9.50
-0.04,-0.11,9.50
0.04,-0.04,9.54
0.08,-0.23,9.58
0.08,-0.04,9.54
0.04,-0.15,9.58
-0.04,-0.11,9.46
-0.08,-0.15,9.42
0.00,-0.15,9.39
0.11,-0.23,9.58
0.00,-0.15,9.62
0.04,-0.04,9.42
0.08,-0.04,9.42
0.08,-0.15,9.58
0.00,-0.11,9.50
0.08,-0.11,9.54
0.00,-0.15,9.54
0.04,-0.08,9.42
0.23,-0.11,9.39
0.08,-0.08,9.50
0.04,0.00,9.50
0.15,-0.15,9.62
-0.08,-0.08,9.42
0.04,-0.15,9.50
0.11,-0.08,9.58
0.04,-0.08,9.46
0.04,-0.11,9.46
0.11,-0.15,9.46
0.15,-0.08,9.46
0.00,-0.11,9.50
0.00,-0.15,9.50
0.15,-0.11,9.46
0.11,-0.04,9.54
0.08,-0.08,9.46
0.04,-0.11,9.50
0.00,-0.19,9.39
0.00,0.00,9.62
0.00,-0.15,9.39
0.04,-0.27,9.50
0.04,-0.15,9.54
0.15,-0.15,9.58
0.04,-0.08,9.50
-0.04,0.00,9.50
0.00,-0.15,9.58
0.04,-0.19,9.46
0.00,-0.19,9.54
0.11,-0.08,9.46
0.00,-0.08,9.42
0.00,-0.15,9.54
0.08,0.00,9.54
0.08,0.00,9.46
0.04,-0.11,9.42
0.15,-0.08,9.42
-0.11,-0.11,9.50
0.04,-0.08,9.35
0.04,-0.11,9.42
0.15,-0.08,9.35
0.11,0.00,9.50
0.08,-0.11,9.50
0.08,-0.11,9.54
0.00,-0.11,9.58
0.08,-0.08,9.62
-0.04,-0.08,9.54
0.08,-0.04,9.42
0.15,-0.19,9.46
0.08,-0.11,9.50
0.00,0.00,9.46
0.15,-0.08,9.42
-0.04,-0.08,9.54
0.08,-0.04,9.54
-0.04,-0.11,9.58
0.11,-0.08,9.54
0.08,-0.23,9.50
0.15,-0.04,9.31
0.04,-0.04,9.62
0.04,-0.15,9.65
0.19,-0.11,9.46
0.11,-0.08,9.42
0.08,-0.08,9.54
0.08,-0.11,9.54
0.11,-0.11,9.46
0.04,-0.19,9.39
0.08,-0.11,9.50
0.08,-0.04,9.69
0.00,-0.19,9.50
0.11,-0.15,9.54
0.11,0.00,9.50
0.04,0.00,9.50
0.00,-0.15,9.62
0.04,-0.15,9.50
-0.04,-0.11,9.42
0.04,-0.19,9.42
0.15,-0.15,9.46
0.15,-0.04,9.35
-0.04,-0.04,9.54
0.11,-0.08,9.35
0.04,0.08,9.54
0.00,-0.15,9.65
-0.04,-0.19,9.50
0.08,-0.04,9.54
0.04,-0.15,9.54
0.00,-0.15,9.46
0.00,-0.08,9.54
0.04,-0.15,9.65
0.04,-0.08,9.39
0.04,-0.23,9.50
0.19,-0.15,9.50
0.08,-0.11,9.50
0.08,-0.08,9.58
0.19,-0.15,9.54
0.00,-0.11,9.54
0.04,0.00,9.54
0.04,-0.11,9.31
0.04,-0.15,9.54
0.11,-0.15,9.50
0.00,-0.15,9.62
0.11,-0.08,9.46
0.08,-0.11,9.50
0.08,-0.23,9.54
0.04,-0.08,9.46
0.00,-0.19,9.42
0.08,-0.15,9.54
0.04,-0.08,9.50
0.08,-0.15,9.50
0.08,-0.11,9.54
0.08,-0.11,9.39
0.00,-0.11,9.58
0.00,-0.11,9.54
0.11,-0.15,9.42
0.04,-0.08,9.50
0.04,-0.11,9.42
0.15,-0.11,9.54
0.04,-0.15,9.50
0.08,-0.19,9.42
-0.08,-0.08,9.46
-0.04,-0.04,9.54
0.08,-0.23,9.50
-0.04,-0.08,9.69
0.00,-0.15,9.58
0.15,-0.15,9.46
0.11,-0.15,9.42
-0.08,-0.15,9.54
0.08,-0.15,9.46
0.04,-0.08,9.42
0.00,-0.11,9.58
0.11,-0.11,9.50
0.04,-0.04,9.54
0.08,-0.11,9.58
0.04,-0.11,9.62
0.08,-0.19,9.54
0.04,-0.15,9.35
-0.04,-0.11,9.39
-0.08,-0.11,9.46
-0.08,-0.08,9.73
-0.04,-0.04,9.50
0.04,-0.11,9.50
0.00,-0.11,9.46
0.00,-0.11,9.54
0.04,-0.15,9.65
0.11,-0.11,9.50
0.08,-0.04,9.46
0.08,-0.08,9.42
0.08,-0.19,9.54
0.00,-0.08,9.50
-0.04,-0.15,9.62
0.08,-0.11,9.39
0.04,-0.08,9.46
0.04,-0.23,9.50
0.08,-0.08,9.50
0.00,-0.08,9.42
0.19,0.00,9.46
0.15,-0.04,9.50
-0.04,-0.08,9.69
0.04,-0.04,9.42
0.04,-0.11,9.46
0.08,-0.15,9.46
-0.08,-0.08,9.50
0.04,-0.15,9.54
0.08,-0.15,9.50
0.11,0.00,9.62
0.08,-0.23,9.42
0.04,-0.08,9.39
0.04,-0.11,9.46
0.00,-0.11,9.46
0.11,-0.08,9.46
0.00,-0.15,9.42
0.08,-0.11,9.50
0.11,-0.15,9.46
0.08,-0.15,9.46
0.11,-0.11,9.50
0.04,0.04,9.50
0.15,-0.11,9.54
0.11,-0.11,9.46
0.00,-0.15,9.39
0.08,-0.15,9.50
-0.04,-0.08,9.50
0.08,-0.08,9.54
-0.04,-0.11,9.46
0.04,-0.15,9.50
0.08,-0.08,9.54
0.00,-0.15,9.46
0.08,-0.15,9.39
0.00,0.00,9.46
-0.04,-0.08,9.58
0.08,-0.08,9.46
0.08,-0.11,9.46
0.00,-0.04,9.42
0.08,-0.11,9.46
-0.08,-0.04,9.54
0.11,-0.11,9.54
0.11,-0.15,9.58
0.04,-0.08,9.39
0.00,-0.15,9.42
0.15,-0.23,9.42
-0.15,-0.19,9.54
0.11,-0.08,9.58
0.00,-0.15,9.50
0.11,-0.15,9.58
0.08,-0.15,9.46
0.04,-0.15,9.46
0.04,-0.15,9.46
0.04,-0.11,9.50
0.15,-0.04,9.50
0.34,-0.15,8.85
-0.19,0.00,9.73
0.15,-0.11,9.62
0.00,-0.08,9.42
0.11,-0.19,9.73
0.23,-0.23,9.46
0.00,-0.04,9.46
0.04,-0.15,9.46
0.08,-0.15,9.50
-0.04,-0.19,9.42
0.27,-0.08,9.46
0.04,-0.15,9.46
0.11,-0.15,9.50
-0.04,-0.15,9.58
0.00,-0.11,9.58
0.04,-0.11,9.58
0.04,-0.23,9.50
-0.08,-0.15,9.46
0.15,-0.08,9.50
0.00,-0.08,9.39
0.08,-0.15,9.54
0.00,-0.19,9.46
0.11,-0.08,9.46
0.11,-0.15,9.46
-0.08,-0.11,9.54
0.11,-0.08,9.42
0.11,-0.11,9.58
0.19,-0.08,9.50
0.04,-0.15,9.31
0.08,-0.08,9.50
0.00,-0.04,9.58
0.08,-0.08,9.42
0.04,-0.11,9.50
0.04,-0.15,9.46
0.11,-0.11,9.50
0.00,-0.11,9.42
0.08,-0.11,9.50
0.00,-0.08,9.54
0.08,-0.11,9.46
0.11,-0.04,9.54
0.00,-0.08,9.50
0.04,-0.15,9.54
0.04,-0.08,9.46
0.04,-0.08,9.39
-0.08,-0.04,9.54
0.11,-0.11,9.46
0.04,-0.04,9.46
0.04,-0.11,9.50
0.04,-0.11,9.39
0.04,-0.15,9.54
0.15,-0.15,9.50
0.08,-0.19,9.46
-0.04,-0.15,9.50
0.00,-0.04,9.46
0.04,-0.08,9.46
-0.04,-0.08,9.54
0.00,-0.11,9.50
0.08,-0.08,9.62
0.15,-0.15,9.62
0.04,-0.11,9.39
0.08,-0.08,9.58
0.11,-0.11,9.46
-0.04,-0.11,9.50
0.08,-0.08,9.46
0.11,-0.15,9.54
0.04,-0.08,9.46
-0.04,-0.11,9.46
0.08,-0.15,9.50
0.11,-0.11,9.54
-0.08,-0.15,9.46
0.00,-0.15,9.46
0.00,-0.08,9.46
0.04,-0.11,9.46
0.00,-0.15,9.54
0.00,-0.11,9.54
0.11,-0.15,9.62
0.00,-0.15,9.50
0.04,-0.15,9.46
-0.04,-0.04,9.50
0.04,-0.08,9.54
0.00,-0.04,9.54
-0.04,-0.11,9.46
0.04,-0.15,9.42
-0.04,-0.04,9.46
0.04,-0.04,9.58
0.00,-0.08,9.62
0.11,-0.19,9.46
0.11,-0.27,9.46
0.11,-0.04,9.54
0.15,-0.08,9.50
-0.04,-0.04,9.50
0.00,-0.15,9.42
0.04,-0.08,9.58
0.04,-0.11,9.42
0.15,-0.15,9.46
0.04,-0.19,9.46
0.15,-0.11,9.46
0.04,-0.08,9.42
0.04,-0.19,9.50
0.08,-0.08,9.54
0.00,-0.08,9.42
0.08,-0.11,9.46
0.08,0.00,9.50
-0.04,-0.11,9.50
0.00,-0.23,9.46
-0.08,-0.15,9.50
0.04,-0.11,9.46
0.00,-0.19,9.54
0.11,-0.15,9.42
0.11,-0.08,9.54
0.08,-0.11,9.46
0.04,-0.15,9.46
0.08,-0.11,9.58
0.11,-0.11,9.54
-0.04,-0.11,9.35
0.08,-0.04,9.54
0.11,-0.15,9.46
0.08,-0.08,9.54
0.04,-0.08,9.42
0.15,-0.11,9.69
0.08,-0.15,9.46
0.11,-0.11,9.50
-0.04,-0.11,9.54
0.00,0.04,9.46
0.08,-0.15,9.46
0.08,-0.15,9.46
0.08,-0.08,9.54
0.69,0.73,9.39
1.26,0.08,10.61
0.19,0.15,9.42
0.04,-0.04,9.50
0.15,-0.15,9.23
0.27,-0.08,9.46
0.15,-0.08,8.47
0.11,-0.08,9.54
-0.04,-0.08,9.54
0.69,-0.38,9.54
0.42,-0.08,9.19
0.00,-0.19,9.46
1.03,-1.19,9.77
-0.15,-0.11,9.50
0.73,-0.15,9.42
0.34,0.04,10.34
0.08,-2.26,8.54
0.92,-0.80,10.00
-0.77,-1.07,9.62
-1.69,-0.23,9.31
1.38,2.68,9.96
1.49,0.57,9.16
0.08,-0.34,9.81
0.54,0.00,8.50
0.42,-0.23,9.73
0.15,-0.11,9.42
0.15,-0.08,9.50
0.15,-0.08,9.42
0.15,-0.08,9.46
0.00,-0.08,9.50
0.15,-0.19,9.42
0.00,-0.04,9.54
-0.08,-0.27,9.54
0.15,-0.08,9.50
0.08,-0.04,9.39
0.04,-0.11,9.58
0.11,-0.11,9.39
0.11,-0.11,9.50
0.11,-0.23,9.54
0.15,-0.19,9.50
0.04,-0.11,9.42
0.11,-0.15,9.50
0.08,-0.15,9.46
0.08,-0.11,9.54
0.15,-0.15,9.50
0.04,-0.15,9.46
0.15,-0.23,9.50
0.04,-0.15,9.46
0.11,-0.23,9.58
0.15,-0.11,9.54
0.04,-0.11,9.50
0.11,-0.15,9.58
0.00,-0.08,9.50
0.04,-0.08,9.46
0.11,-0.19,9.54
0.04,-0.08,9.50
0.04,-0.11,9.42
0.11,-0.04,9.46
-0.57,-0.11,9.31
-0.11,-0.15,9.77
0.00,-0.08,9.50
-0.08,-0.04,9.62
-0.04,-0.11,9.50
0.04,-0.19,9.54
0.08,-0.23,9.46
0.11,-0.04,9.39
0.15,-0.11,9.46
0.08,-0.08,9.54
0.04,-0.15,9.50
0.08,-0.11,9.58
0.08,-0.15,9.46
0.08,-0.04,9.58
0.04,-0.50,7.01
-0.04,-0.65,9.54
0.42,-0.84,8.70
0.23,-0.80,9.23
0.19,-1.53,9.27
0.08,0.27,10.00
-0.11,0.15,9.50
-0.04,-0.96,10.04
0.19,-1.99,9.42
0.57,-0.31,9.27
0.11,-0.34,9.92
-0.04,-1.92,8.20
0.19,-4.56,8.31
0.46,-5.86,7.51
0.38,-6.21,7.35
0.38,-6.40,6.93
0.27,-4.25,8.70
0.15,-1.76,9.50
0.00,-0.27,9.58
0.08,-0.11,9.50
-0.08,-0.23,9.50
0.08,-0.19,9.42
0.11,-0.15,9.46
0.08,-0.23,9.62
-0.04,-0.15,9.62
0.00,-0.19,9.42
0.04,-0.08,9.54
0.11,0.04,9.50
0.08,-0.11,9.54
0.08,-0.11,9.42
0.04,0.00,9.46
0.11,-0.08,9.46
0.04,-0.23,9.58
0.11,-0.15,9.54
0.00,-0.15,9.46
0.04,-0.11,9.42
0.00,-0.11,9.50
0.04,-0.11,9.42
0.00,-0.23,9.54
0.15,-0.15,9.50
0.11,-0.15,9.46
0.11,-0.19,9.54
0.04,-0.19,9.62
-0.04,-0.19,9.50
0.08,-0.19,9.50
0.11,-0.15,9.54
0.04,-0.08,9.42
0.04,-0.19,9.54
0.15,-0.11,9.54
0.15,-0.08,9.50
-0.04,-0.11,9.42
0.04,-0.11,9.46
0.08,-0.15,9.46
0.04,-0.15,9.54
0.00,-0.08,9.42
0.11,-0.15,9.46
0.00,-0.11,9.42
0.08,-0.08,9.35
0.15,-0.15,9.54
0.08,-0.19,9.50
0.04,-0.15,9.42
0.08,-0.23,9.58
0.08,-0.04,9.46
0.04,-0.19,9.54
0.04,-0.11,9.42
0.00,-0.11,9.46
0.11,-0.19,9.58
0.08,-0.15,9.54
0.00,-0.23,9.50
0.04,-0.11,9.42
0.08,-0.11,9.58
0.00,-0.08,9.50
0.08,-0.11,9.65
0.04,-0.19,9.42
-0.08,-0.15,9.46
0.00,-0.15,9.50
0.00,-0.15,9.46
0.08,-0.19,9.62
0.08,-0.15,9.42
0.04,-0.15,9.50
0.08,-0.11,9.46
0.11,-0.11,9.42
0.04,-0.19,9.69
0.11,-0.11,9.58
0.11,-0.11,9.39
0.00,-0.19,9.46
0.08,-0.23,9.46
0.11,-0.19,9.54
-0.04,-0.15,9.50
0.11,-0.08,9.46
0.04,-0.15,9.50
0.11,-0.15,9.50
0.04,-0.15,9.46
-0.11,-0.11,9.46
0.00,-0.11,9.46
0.08,-0.23,9.58
0.08,-0.04,9.54
0.00,-0.15,9.62
0.04,-0.11,9.58
0.11,0.00,9.42
0.08,-0.08,9.58
0.11,-0.11,9.50
0.11,-0.08,9.39
-0.08,-0.19,9.46
0.08,-0.15,9.54
0.00,-0.15,9.62
0.11,-0.11,9.46
-0.08,-0.23,9.46
0.04,-0.23,9.54
0.00,-0.19,9.50
0.04,-0.15,9.58
0.11,-0.11,9.42
0.15,-0.23,9.46
0.00,-0.08,9.54
-0.04,-0.11,9.54
0.08,-0.11,9.58
0.04,-0.08,9.46
0.08,-0.19,9.50
0.15,-0.11,9.54
0.08,-0.23,9.46
0.00,-0.19,9.62
0.08,-0.08,9.46
0.04,-0.11,9.54
0.11,-0.19,9.50
0.04,-0.23,9.62
0.11,-0.19,9.42
0.08,-0.08,9.54
0.00,-0.11,9.50
0.11,-0.11,9.58
0.04,-0.19,9.42
0.11,-0.11,9.46
0.15,-0.19,9.50
-0.04,-0.15,9.58
0.04,-0.11,9.54
0.04,-0.08,9.42
0.11,-0.15,9.54
0.00,-0.04,9.54
-0.04,-0.15,9.62
0.00,-0.15,9.50
0.08,-0.23,9.50
-0.04,-0.11,9.50
0.11,-0.11,9.50
0.00,-0.08,9.46
0.00,-0.04,9.54
-0.04,-0.19,9.50
0.15,-0.15,9.58
0.04,-0.19,9.31
0.00,-0.08,9.50
0.15,0.00,9.50
0.00,-0.08,9.54
0.00,-0.15,9.42
-0.04,-0.11,9.50
0.00,-0.15,9.42
0.04,-0.19,9.42
0.04,-0.08,9.54
0.08,-0.15,9.50
0.08,-0.15,9.58
0.11,-0.08,9.39
0.08,-0.08,9.42
0.15,-0.11,9.42
0.00,0.00,9.50
-0.04,-0.11,9.54
0.15,-0.15,9.46
0.08,-0.23,9.39
-0.08,-0.08,9.42
-0.08,-0.08,9.54
0.11,-0.23,9.46
0.11,-0.19,9.58
0.00,-0.19,9.54
0.00,-0.19,9.54
0.08,-0.08,9.42
0.00,-0.08,9.62
0.11,-0.15,9.58
0.15,-0.15,9.50
0.08,-0.23,9.50
0.15,-0.19,9.42
0.04,-0.11,9.62
0.08,-0.23,9.50
0.11,-0.19,9.54
0.08,-0.15,9.46
0.11,-0.27,9.42
-0.04,-0.19,9.54
0.04,-0.11,9.54
0.00,-0.23,9.50
-0.04,-0.19,9.54
0.08,-0.19,9.46
0.08,-0.11,9.46
0.11,-0.19,9.46
0.11,-0.19,9.54
-0.04,-0.11,9.46
0.08,-0.19,9.39
0.08,-0.23,9.42
0.04,-0.11,9.54
0.08,-0.19,9.62
0.08,-0.11,9.54
0.00,-0.19,9.46
0.08,-0.19,9.50
0.04,-0.11,9.54
0.11,-0.15,9.50
0.04,-0.11,9.58
0.04,-0.08,9.58
-0.04,-0.11,9.62
0.00,-0.15,9.46
-0.08,0.19,9.27
-0.23,0.15,9.50
0.04,-0.23,9.50
0.19,1.03,10.19
0.08,-0.04,9.50
0.23,1.00,10.42
0.80,0.31,9.46
0.04,-0.11,9.31
0.15,-0.08,9.42
0.00,-0.08,9.54
0.15,-0.08,9.46
0.15,-0.04,9.42
0.08,-0.11,9.42
0.11,0.04,9.42
-0.04,-0.11,9.46
0.08,-0.11,9.46
0.04,-0.15,9.46
0.08,0.00,9.54
-0.04,-0.04,9.50
0.08,-0.15,9.54
0.00,-0.15,9.50
0.08,-0.11,9.54
0.11,-0.08,9.58
0.04,-0.11,9.65
0.15,-0.11,9.42
-0.08,-0.08,9.58
0.08,-0.15,9.50
0.04,-0.08,9.58
0.08,-0.11,9.62
0.08,-0.15,9.50
0.00,-0.15,9.46
0.08,-0.08,9.46
0.04,-0.15,9.58
-0.04,-0.08,9.50
-0.08,-0.04,9.42
0.11,-0.15,9.54
0.08,-0.15,9.58
0.04,-0.15,9.50
0.04,-0.11,9.54
0.04,-0.15,9.62
0.15,-0.11,9.50
0.04,-0.04,9.58
0.15,-0.19,9.35
0.15,-0.15,9.50
0.11,-0.11,9.46
0.00,-0.11,9.58
0.11,-0.19,9.58
0.08,-0.15,9.46
0.08,-0.19,9.54
0.08,-0.15,9.58
0.15,-0.23,9.54
0.08,-0.15,9.54
0.15,-0.38,9.50
-0.15,-0.08,9.23
0.08,-0.15,9.42
0.00,-0.19,9.46
-0.11,-0.19,9.54
0.08,-0.23,9.46
0.04,-0.23,9.54
-0.04,-0.19,9.46
-0.08,-0.15,9.54
0.00,-0.19,9.42
-0.04,-0.27,9.54
-0.04,-0.19,9.46
-0.61,0.92,10.57
0.08,-0.15,9.35
-0.08,-0.27,9.39
0.15,-0.65,8.93
-0.04,-0.27,9.46
-0.04,-0.27,9.39
0.00,-0.19,9.54
0.11,-0.08,9.42
-0.04,-0.11,9.35
0.04,-0.19,9.42
0.08,-0.15,9.50
0.08,-0.15,9.42
0.04,-0.15,9.50
0.11,-0.15,9.42
0.15,-0.19,9.50
0.04,-0.19,9.54
0.00,-0.15,9.58
0.08,-0.23,9.35
0.11,-0.11,9.46
0.04,-0.11,9.39
0.11,-0.15,9.54
0.08,-0.23,9.50
0.08,-0.04,9.58
0.19,-0.08,9.46
0.08,-0.19,9.39
0.08,-0.19,9.50
0.00,-0.08,9.46
-0.04,-0.08,9.46
0.08,-0.11,9.62
0.04,-0.23,9.50
0.19,-0.04,9.50
0.08,-0.19,9.46
0.15,-0.11,9.58
0.11,-0.15,9.46
0.08,-0.19,9.50
0.11,-0.15,9.50
0.08,-0.19,9.54
0.08,-0.11,9.46
0.08,-0.08,9.42
0.04,-0.11,9.50
-0.04,-0.11,9.58
0.11,-0.19,9.54
0.04,-0.11,9.58
0.08,-0.19,9.58
0.11,-0.15,9.50
0.08,-0.04,9.54
0.00,-0.23,9.54
0.11,-0.08,9.50
-0.08,-0.11,9.62
0.04,-0.15,9.62
0.04,-0.15,9.58
0.11,-0.23,9.39
0.08,-0.15,9.46
0.11,-0.15,9.50
0.04,-0.11,9.42
0.19,-0.15,9.46
0.04,-0.11,9.50
0.08,-0.11,9.46
0.08,-0.15,9.58
0.08,-0.19,9.54
0.04,-0.08,9.46
0.08,-0.15,9.54
0.08,-0.11,9.58
0.00,-0.19,9.50
0.00,-0.19,9.54
0.11,-0.15,9.50
0.11,-0.11,9.42
0.04,-0.04,9.50
0.08,-0.19,9.39
0.04,-0.11,9.50
0.08,-0.19,9.54
0.00,-0.11,9.42
0.08,-0.19,9.54
0.04,-0.11,9.62
0.11,0.00,9.50
0.11,-0.15,9.50
0.04,-0.15,9.54
0.00,-0.11,9.50
0.00,-0.08,9.46
0.08,-0.11,9.50
0.11,-0.15,9.50
0.04,-0.15,9.50
0.15,-0.11,9.46
0.04,-0.11,9.50
0.08,-0.23,9.46
0.00,-0.11,9.39
0.00,-0.23,9.58
-0.04,-0.08,9.42
0.04,-0.15,9.46
0.00,-0.19,9.46
0.19,-0.15,9.50
0.08,-0.23,9.46
0.11,-0.15,9.46
0.08,-0.23,9.46
0.08,-0.19,9.54
0.04,-0.04,9.62
0.04,-0.15,9.42
0.08,-0.11,9.50
0.08,-0.08,9.50
0.11,-0.08,9.50
0.08,-0.11,9.58
0.11,-0.08,9.42
0.04,-0.19,9.58
0.08,-0.15,9.50
0.11,-0.04,9.46
0.00,-0.11,9.50
0.08,-0.15,9.54
0.00,-0.19,9.46
0.11,-0.11,9.46
0.04,-0.08,9.46
-0.04,-0.11,9.54
-0.04,-0.19,9.42
-0.04,-0.15,9.50
0.15,-0.08,9.50
0.15,-0.11,9.42
0.08,-0.08,9.50
0.00,-0.19,9.39
0.11,-0.27,9.58
-0.04,-0.15,9.50
0.04,-0.08,9.50
0.04,-0.15,9.50
0.15,-0.15,9.42
0.11,0.00,9.50
0.04,-0.08,9.54
0.00,-0.19,9.54
0.04,-0.11,9.35
0.08,-0.11,9.62
0.08,-0.27,9.50
0.08,-0.19,9.35
0.23,-0.15,9.58
0.08,-0.08,9.42
0.04,-0.19,9.46
0.04,-0.15,9.54
0.08,-0.19,9.62
0.11,-0.15,9.54
0.11,-0.11,9.58
0.08,-0.15,9.50
0.04,-0.11,9.46
0.11,-0.15,9.46
0.15,-0.11,9.54
0.04,-0.19,9.50
0.00,-0.23,9.42
0.08,-0.15,9.35
0.04,-0.19,9.35
0.11,-0.15,9.39
0.00,-0.08,9.42
0.11,-0.15,9.58
0.00,-0.08,9.42
0.11,-0.19,9.58
0.00,-0.11,9.50
-0.04,-0.11,9.50
0.57,-0.15,9.50
0.00,-0.08,9.62
0.00,-0.11,9.46
0.00,-0.19,9.54
-0.08,-0.04,9.50
0.08,-0.23,9.42
-0.08,-0.15,9.58
0.04,-0.11,9.46
0.04,-0.19,9.42
0.08,-0.15,9.42
0.04,-0.08,9.50
0.08,-0.19,9.62
0.15,-0.19,9.50
0.15,-0.11,9.42
